날짜,year,month,day,종가,대비,등락률,거래량,거래대금,시가총액,외국인 보유수량,외국인 지분율,토론방,순매수_기관,순매수_기타법인,순매수_개인,순매수_외국인,검색어,보도량,기사감성점수,뉴스심리지수,비트코인종가,비트코인거래량,비트코인변동,코스피종가,코스피대비,코스피등락률,코스피거래량,코스피거래대금,코스피시가총액,한은금리,원/미국달러,원/위안,원/일본엔(100엔),원/유로,경제심리지수(원계열),경제심리지수(순환변동치),산업생산지수,물가상승률,소비자신뢰지수,소비자심리지수,경제활동참가율(%),실업률(%),고용률(%),day1_label,3일 등락률,day3_label,5일 등락률,day5_label
2017-07-11,2017,7,11,69000.0,1700.0,2.53,3187332.0,217623977100.0,50232163185000.0,365847157.0,50.25,303,18129850900.0,-682364400.0,-34052198700.0,16604712200.0,8.10396,58.0,0.4827586206896552,111.66,2324.3,146630.0,-0.84,2396.0,13.9,0.58,284462.0,4942134.0,1558253116.0,1.25,1149.9,169.09,1008.15,1310.54,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,1.32,maintain,4.86,maintain
2017-07-12,2017,7,12,68900.0,-100.0,-0.14,3462150.0,238603607800.0,50159362948500.0,366085238.0,50.29,191,-9839816500.0,749027800.0,9789322900.0,-698534200.0,8.16834,65.0,0.4,111.91,2403.1,109520.0,3.39,2391.77,-4.23,-0.18,268926.0,5352347.0,1555980342.0,1.25,1150.1,168.88,1010.14,1319.11,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,3.45,maintain,1.32,maintain
2017-07-13,2017,7,13,70600.0,1700.0,2.47,5432312.0,384125703900.0,51396966969000.0,365657970.0,50.23,521,-5082932100.0,696057800.0,-18614498200.0,23001372500.0,11.22361,90.0,0.5666666666666667,111.09,2362.4,88170.0,-1.69,2409.49,17.72,0.74,289261.0,6169865.0,1568027438.0,1.25,1145.6,168.72,1011.17,1307.65,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,4.9,maintain,3.67,maintain
2017-07-14,2017,7,14,71100.0,500.0,0.71,2931832.0,209076118500.0,51760968151500.0,365984568.0,50.27,235,10494798100.0,-9600692600.0,42972539600.0,-43866645100.0,9.64898,72.0,0.5138888888888888,111.6,2234.2,114410.0,-5.43,2414.63,5.14,0.21,258766.0,5288841.0,1571230354.0,1.25,1137.5,167.75,1003.22,1296.35,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,3.04,maintain,6.76,buy
2017-07-17,2017,7,17,71200.0,100.0,0.14,2804598.0,199067687800.0,51833768388000.0,365314000.0,50.18,235,6822217200.0,411900600.0,43710679200.0,-50944797000.0,9.12856,50.0,0.36,105.92,2233.4,176890.0,16.68,2425.1,10.47,0.43,254205.0,4928676.0,1578499325.0,1.25,1136.0,167.59,1009.91,1303.22,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,3.34,maintain,5.79,buy
2017-07-18,2017,7,18,70800.0,-400.0,-0.56,2066194.0,146851971332.0,51542567442000.0,364574690.0,50.08,236,14619507500.0,-803835700.0,7291600500.0,-21107272300.0,7.92513,76.0,0.5657894736842105,106.27,2320.2,202620.0,3.89,2426.04,0.94,0.04,260662.0,4801381.0,1578631568.0,1.25,1128.2,166.76,1001.64,1294.95,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,0.28,maintain,2.61,maintain
2017-07-19,2017,7,19,71000.0,200.0,0.28,2009799.0,141783535300.0,51688167915000.0,364274648.0,50.04,235,8675568400.0,-83350300.0,-3359918800.0,-5232299300.0,7.69511,42.0,0.3571428571428571,104.57,2282.6,154320.0,-1.62,2429.94,3.9,0.16,270965.0,5100349.0,1581150486.0,1.25,1126.3,166.68,1005.09,1300.82,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,-0.14,maintain,3.05,maintain
2017-07-20,2017,7,20,71300.0,300.0,0.42,1647153.0,117296305900.0,51906568624500.0,364116386.0,50.02,149,-2453224400.0,469565500.0,1593988700.0,389670200.0,7.71154,31.0,0.5806451612903226,105.47,2866.0,310340.0,25.56,2441.84,11.9,0.49,251917.0,5452699.0,1589860931.0,1.25,1121.8,166.25,1003.04,1293.38,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,0.14,maintain,0.99,maintain
2017-07-21,2017,7,21,71200.0,-100.0,-0.14,1599111.0,113487450900.0,51833768388000.0,364120580.0,50.02,164,-1074914900.0,2372621100.0,3063373600.0,-4361079800.0,7.3772,49.0,0.5102040816326531,106.42,2675.1,193760.0,-6.66,2450.06,8.22,0.34,250132.0,5207298.0,1592877224.0,1.25,1124.9,166.35,1005.32,1308.09,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,0.56,maintain,0.14,maintain
2017-07-24,2017,7,24,73000.0,1800.0,2.53,3598173.0,260435962400.0,53144172645000.0,364058086.0,50.01,351,11140853200.0,5735223300.0,-24850654400.0,7974577900.0,9.3582,58.0,0.4827586206896552,113.47,2763.4,83010.0,0.25,2451.53,1.47,0.06,233408.0,4637011.0,1593346329.0,1.25,1121.2,165.92,1008.95,1308.94,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,maintain,2.82,maintain,2.53,maintain
