날짜,year,month,day,종가,대비,등락률,거래량,거래대금,시가총액,외국인 보유수량,외국인 지분율,토론방,순매수_기관,순매수_기타법인,순매수_개인,순매수_외국인,검색어,보도량,기사감성점수,뉴스심리지수,비트코인종가,비트코인거래량,비트코인변동,코스피종가,코스피대비,코스피등락률,코스피거래량,코스피거래대금,코스피시가총액,한은금리,원/미국달러,원/위안,원/일본엔(100엔),원/유로,경제심리지수(원계열),경제심리지수(순환변동치),산업생산지수,물가상승률,소비자신뢰지수,소비자심리지수,경제활동참가율(%),실업률(%),고용률(%),5일 등락률,day5_label
2017-06-13,2017,6,13,164500.0,2000.0,1.23,548527.0,90823499500.0,36235480795500.0,101743722.0,46.19,38,39733047000.0,173011000.0,-8900915500.0,-31005142500.0,18.05945,167.0,0.2694610778443114,108.72,2713.0,116740.0,2.12,2374.7,16.83,0.71,322082.0,5665179.0,1538262978.0,1.25,1126.0,165.82,1024.89,1261.29,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2.81,maintain
2017-06-14,2017,6,14,169000.0,4500.0,2.74,638693.0,107793313500.0,37226724951000.0,101505776.0,46.08,30,39458165000.0,252149500.0,-27224362000.0,-12485952500.0,13.90018,107.0,0.02803738317757,112.06,2467.3,174190.0,-9.06,2372.64,-2.06,-0.09,392998.0,6795165.0,1537387890.0,1.25,1128.9,166.24,1025.76,1265.33,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,5.62,buy
2017-06-19,2017,6,19,167000.0,2000.0,1.21,335858.0,55915445000.0,36786171993000.0,101104727.0,45.9,27,7054534500.0,-333380500.0,-13134558000.0,6413404000.0,10.01278,72.0,0.0833333333333333,109.23,2616.8,81830.0,3.04,2370.9,9.07,0.38,290945.0,5421942.0,1536693704.0,1.25,1133.0,166.06,1021.96,1269.24,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,-1.18,maintain
2017-06-20,2017,6,20,166500.0,-500.0,-0.3,373530.0,62236511000.0,36676033753500.0,101133872.0,45.91,15,-11937005500.0,72344000.0,-829588000.0,12694249500.0,9.23959,52.0,0.0384615384615384,108.78,2754.4,111300.0,5.26,2369.23,-1.67,-0.07,360734.0,7143556.0,1536241745.0,1.25,1131.4,166.01,1013.35,1261.34,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2.15,maintain
2017-06-21,2017,6,21,160500.0,-6000.0,-3.6,557266.0,90267689500.0,35354374879500.0,101212101.0,45.95,38,-14282893500.0,-196489500.0,18188392500.0,-3709009500.0,8.49364,35.0,-0.2571428571428571,107.24,2677.6,116030.0,-2.79,2357.53,-11.7,-0.49,360345.0,6466060.0,1528474847.0,1.25,1137.0,166.42,1021.24,1266.11,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,-2.73,maintain
2017-06-26,2017,6,26,164000.0,0.0,0.0,211301.0,34661083500.0,36125342556000.0,101302845.0,45.99,15,787357500.0,194050500.0,-933063500.0,-48344500.0,9.36204,63.0,0.2063492063492063,107.59,2446.1,165830.0,-3.76,2388.66,10.06,0.42,325674.0,5213754.0,1548384049.0,1.25,1140.1,166.72,1025.04,1276.63,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,2.18,maintain
2017-06-27,2017,6,27,160500.0,-3500.0,-2.13,449056.0,72390500000.0,35354374879500.0,101306664.0,45.99,48,-15093376500.0,65711000.0,21087892500.0,-6060227000.0,9.75339,73.0,0.2054794520547945,107.81,2583.8,159260.0,5.63,2391.95,3.29,0.14,358034.0,6473502.0,1550600184.0,1.25,1135.2,165.84,1014.61,1269.15,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,-0.62,maintain
2017-06-28,2017,6,28,160000.0,-500.0,-0.31,347569.0,55810820500.0,35244236640000.0,101246154.0,45.96,18,7123585500.0,-315976500.0,8968826500.0,-15776435500.0,8.6913,119.0,0.0924369747899159,109.74,2577.7,110420.0,-0.23,2382.56,-9.39,-0.39,361177.0,6018053.0,1543678169.0,1.25,1136.4,165.84,1012.88,1288.85,99.8,99.6,103.9,97.338,111.0,110.8,63.9,3.8,61.5,-2.44,maintain
2017-07-03,2017,7,3,163500.0,4000.0,2.51,392228.0,63239001000.0,36015204316500.0,100031728.0,45.41,38,9346738500.0,-160918500.0,-16968611000.0,7782791000.0,8.98885,112.0,0.0803571428571428,113.7,2572.5,83420.0,1.42,2394.48,2.69,0.11,310992.0,4782703.0,1551236137.0,1.25,1144.0,168.97,1018.25,1306.91,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,2.19,maintain
2017-07-04,2017,7,4,158500.0,-5000.0,-3.06,448579.0,71283807000.0,34913821921500.0,100079120.0,45.43,84,2715566500.0,117814500.0,15212996000.0,-18046377000.0,8.97992,86.0,-0.3255813953488372,112.7,2617.3,80680.0,1.74,2380.52,-13.96,-0.58,411776.0,4899735.0,1541800096.0,1.25,1145.0,168.97,1010.06,1301.81,99.1,100.0,104.5,97.499,111.0,110.9,63.8,3.4,61.6,-1.55,maintain
